,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
39,1,2,9,2,3,458,1,3,4,3,1,3,1,24,3,2,1,3,1,1,1
40,1,4,30,2,3,2333,3,5,4,3,1,2,3,30,1,2,1,4,1,1,1
41,1,2,12,2,3,1158,3,3,3,1,1,1,3,26,3,2,1,3,1,2,1
42,1,2,18,3,5,6204,1,3,2,3,1,4,1,44,3,2,1,2,2,2,1
43,1,1,30,4,1,6187,2,4,1,4,1,4,3,24,3,1,2,3,1,1,1
44,0,1,48,4,1,6143,1,5,4,2,1,4,4,58,2,3,2,2,1,1,1
45,1,4,11,4,0,1393,1,2,4,2,1,4,3,35,3,2,2,4,1,1,1
46,1,4,36,2,3,2299,3,5,4,3,1,4,3,39,3,2,1,3,1,1,1
47,1,1,6,2,1,1352,3,1,1,2,1,2,2,23,3,1,1,1,1,2,1
48,1,4,11,4,0,7228,1,3,1,3,1,4,2,39,3,2,2,2,1,1,1
49,1,4,12,2,3,2073,2,3,4,2,2,2,1,28,3,2,1,3,1,1,1
50,1,2,24,3,2,2333,5,2,4,3,1,2,2,29,1,2,1,2,1,1,1
51,1,2,27,3,1,5965,1,5,1,3,1,2,3,30,3,2,2,4,1,2,1
52,1,4,12,2,3,1262,1,3,3,3,1,2,3,25,3,2,1,3,1,1,1
53,1,4,18,2,1,3378,5,3,2,3,1,1,2,31,3,2,1,3,1,2,1
54,0,2,36,3,0,2225,1,5,4,3,1,4,4,57,1,3,2,3,1,2,1
55,1,4,6,1,0,783,5,3,1,3,3,2,1,26,2,2,1,2,2,1,1
56,0,2,12,2,3,6468,5,1,2,3,1,1,4,52,3,2,1,4,1,2,1
57,1,4,36,4,3,9566,1,3,2,2,1,2,3,31,2,2,2,3,1,1,1
58,1,3,18,2,0,1961,1,5,3,2,1,2,3,23,3,2,1,4,1,1,1
59,0,1,36,4,2,6229,1,2,4,2,2,4,4,23,3,1,2,2,1,2,1
60,1,2,9,2,9,1391,1,3,2,4,1,1,1,27,1,2,1,3,1,2,1
61,1,2,15,4,3,1537,5,5,4,3,3,4,1,50,3,2,2,3,1,2,1
62,0,2,36,0,9,1953,1,5,4,3,1,4,4,61,3,3,1,4,1,2,1
63,0,2,48,0,9,14421,1,3,2,3,1,2,3,25,3,2,1,3,1,2,1
64,1,4,24,2,3,3181,1,2,4,2,1,4,2,26,3,2,1,3,1,2,1
65,1,4,27,2,5,5190,5,5,4,3,1,4,2,48,3,2,4,3,2,2,1
66,1,4,12,2,3,2171,1,2,2,2,1,2,3,29,1,2,1,3,1,1,1
67,1,2,12,2,0,1007,4,3,4,4,1,1,1,22,3,2,1,3,1,1,1
68,0,4,36,2,6,1819,1,3,4,3,1,4,4,37,2,3,1,3,1,2,1
69,1,4,36,2,3,2394,5,3,4,2,1,4,3,25,3,2,1,3,1,1,1
70,1,4,36,2,1,8133,1,3,1,2,1,2,2,30,1,2,1,3,1,1,1
71,1,4,7,4,3,730,5,5,4,3,1,2,2,46,3,1,2,2,1,2,1
72,1,1,8,4,10,1164,1,5,3,3,1,4,4,51,1,3,2,4,2,2,1
73,1,2,42,4,9,5954,1,4,2,2,1,1,1,41,1,2,2,2,1,1,1
74,0,1,36,2,6,1977,5,5,4,3,1,4,4,40,3,2,1,4,1,2,1
75,1,1,12,4,1,1526,1,5,4,3,1,4,4,66,3,3,2,4,1,1,1
76,0,1,42,2,3,3965,1,2,4,3,1,3,3,34,3,2,1,3,1,1,1
77,1,2,11,3,3,4771,1,4,2,3,1,4,2,51,3,2,1,3,1,1,1
78,1,4,54,0,1,9436,5,3,2,3,1,2,2,39,3,2,1,2,2,1,1
79,1,2,30,2,2,3832,1,2,2,4,1,1,2,22,3,2,1,3,1,1,1
80,0,4,24,2,3,5943,5,2,1,2,1,1,3,44,3,2,2,3,1,2,1
81,1,4,15,2,3,1213,3,5,4,3,1,3,2,47,2,2,1,3,1,2,1
82,1,4,18,2,9,1568,2,3,3,2,1,4,2,24,3,1,1,2,1,1,1
83,1,1,24,2,10,1755,1,5,4,2,3,4,1,58,3,2,1,2,1,2,1
84,1,1,10,2,3,2315,1,5,3,3,1,4,1,52,3,2,1,2,1,1,1
85,1,4,12,4,9,1412,1,3,4,2,3,2,1,29,3,2,2,4,1,2,1
86,1,2,18,4,2,1295,1,2,4,2,1,1,2,27,3,2,2,3,1,1,1
87,0,2,36,2,6,12612,2,3,1,3,1,4,4,47,3,3,1,3,2,2,1
88,1,1,18,2,0,2249,2,4,4,3,1,3,3,30,3,2,1,4,2,2,1
89,0,1,12,0,5,1108,1,4,4,3,1,3,1,28,3,2,2,3,1,1,1
90,1,4,12,4,3,618,1,5,4,3,1,4,1,56,3,2,1,3,1,1,1
91,1,1,12,4,1,1409,1,5,4,3,1,3,1,54,3,2,1,3,1,1,1
92,0,4,12,4,3,797,5,5,4,2,1,3,2,33,1,2,1,2,2,1,1
93,1,3,24,4,2,3617,5,5,4,3,2,4,4,20,3,1,2,3,1,1,1
94,1,2,12,2,0,1318,4,5,4,3,1,4,1,54,3,2,1,3,1,2,1
95,0,2,54,0,9,15945,1,2,3,3,1,4,4,58,3,1,1,3,1,2,1
96,1,4,12,4,6,2012,5,4,4,2,1,2,3,61,3,2,1,3,1,1,1
97,1,2,18,2,9,2622,2,3,4,3,1,4,3,34,3,2,1,3,1,1,1
98,1,2,36,4,3,2337,1,5,4,3,1,4,1,36,3,2,1,3,1,1,1
99,1,2,20,3,1,7057,5,4,3,3,1,4,2,36,1,1,2,4,2,2,1
100,1,4,24,2,0,1469,2,5,4,4,1,4,1,41,3,1,1,2,1,1,1
101,1,2,36,2,3,2323,1,4,4,3,1,4,3,24,3,1,1,3,1,1,1
102,1,4,6,3,3,932,1,3,3,2,1,2,1,24,3,2,1,3,1,1,1
103,1,2,9,4,2,1919,1,4,4,3,1,3,3,35,3,1,1,3,1,2,1
104,1,4,12,2,1,2445,5,2,2,4,1,4,3,26,3,1,1,3,1,2,1
105,0,2,24,4,10,11938,1,3,2,3,2,3,3,39,3,2,2,4,2,2,1
106,0,4,18,1,0,6458,1,5,2,3,1,4,4,39,1,2,2,4,2,2,1
107,1,2,12,2,0,6078,1,4,2,3,1,2,3,32,3,2,1,3,1,1,1
108,1,1,24,2,2,7721,5,2,1,2,1,2,2,30,3,2,1,3,1,2,2
109,1,2,14,2,9,1410,3,5,1,4,1,2,1,35,3,2,1,3,1,2,1
110,1,2,6,3,9,1449,2,5,1,1,1,2,3,31,1,2,2,3,2,1,1
111,1,3,15,2,6,392,1,2,4,2,1,4,2,23,3,1,1,3,1,2,1
112,1,2,18,2,0,6260,1,4,3,3,1,3,1,28,3,1,1,2,1,1,1
113,0,4,36,4,0,7855,1,3,4,2,1,2,1,25,2,2,2,3,1,2,1
114,1,1,12,2,3,1680,3,5,3,4,1,1,1,35,3,2,1,3,1,1,1
115,1,4,48,4,3,3578,5,5,4,3,1,1,1,47,3,2,1,3,1,2,1
116,0,1,42,2,3,7174,5,4,4,2,1,3,3,30,3,2,1,4,1,2,1
117,1,1,10,4,2,2132,5,2,2,2,2,3,1,27,3,1,2,3,1,1,2
118,0,1,33,4,2,4281,3,3,1,2,1,4,3,23,3,2,2,3,1,1,1
119,1,2,12,4,0,2366,3,4,3,1,1,3,3,36,3,2,1,4,1,2,1
120,0,1,21,2,3,1835,1,3,3,2,1,2,1,25,3,2,2,3,1,2,1
121,1,4,24,4,1,3868,1,5,4,2,1,2,3,41,3,1,2,4,1,2,1
122,1,4,12,2,2,1768,1,3,3,3,1,2,1,24,3,1,1,2,1,1,1
123,1,3,10,4,0,781,1,5,4,3,1,4,4,63,3,3,2,3,1,2,1
124,0,2,18,2,2,1924,5,2,4,2,1,3,1,27,3,1,1,3,1,1,1
125,1,1,12,4,0,2121,1,3,4,3,1,2,2,30,3,2,2,3,1,1,1
126,1,1,12,2,3,701,1,3,4,4,1,2,1,40,3,2,1,2,1,1,1
127,0,2,12,2,5,639,1,3,4,3,1,2,3,30,3,2,1,3,1,1,1
128,1,2,12,4,1,1860,1,1,4,3,1,2,3,34,3,2,2,4,1,2,1
129,0,1,12,4,0,3499,1,3,3,2,2,2,1,29,3,2,2,3,1,1,1
130,1,2,48,2,0,8487,5,4,1,2,1,2,3,24,3,2,1,3,1,1,1
131,0,1,36,3,6,6887,1,3,4,3,1,3,2,29,2,2,1,3,1,2,1
132,1,4,15,2,2,2708,1,2,2,3,1,3,2,27,1,2,2,2,1,1,1
133,1,4,18,2,2,1984,1,3,4,3,1,4,4,47,1,3,2,3,1,1,1
134,1,4,60,2,3,10144,2,4,2,2,1,4,1,21,3,2,1,3,1,2,1
135,1,4,12,4,3,1240,5,5,4,2,1,2,1,38,3,2,2,3,1,2,1
136,1,4,27,3,1,8613,4,3,2,3,1,2,3,27,3,2,2,3,1,1,1
137,0,2,12,2,3,766,3,3,4,3,1,3,1,66,3,2,1,2,1,1,1
138,1,2,15,4,3,2728,5,4,4,3,3,2,1,35,1,2,3,3,1,2,1
139,1,3,12,2,3,1881,1,3,2,2,1,2,3,44,3,1,1,2,1,2,1
140,1,3,6,2,0,709,4,2,2,4,1,2,1,27,3,2,1,1,1,1,2
141,1,2,36,2,3,4795,1,2,4,2,1,1,4,30,3,2,1,4,1,2,1
142,1,1,27,2,3,3416,1,3,3,3,1,2,3,27,3,2,1,4,1,1,1
143,0,1,18,2,2,2462,1,3,2,3,1,2,3,22,3,2,1,3,1,1,1
144,1,4,21,4,2,2288,1,2,4,2,1,4,2,23,3,2,1,3,1,2,1
145,1,2,48,1,9,3566,2,4,4,3,1,2,3,30,3,2,1,3,1,1,1
146,1,1,6,4,0,860,1,5,1,2,1,4,4,39,3,2,2,3,1,2,1
147,1,4,12,4,0,682,2,4,4,2,1,3,3,51,3,2,2,3,1,2,1
148,1,1,36,4,2,5371,1,3,3,3,3,2,2,28,3,2,2,3,1,1,1
149,1,4,18,4,3,1582,4,5,4,3,1,4,3,46,3,2,2,3,1,1,1
150,1,4,6,2,3,1346,2,5,2,3,1,4,4,42,1,3,1,3,2,2,1
151,1,4,10,2,3,1924,1,3,1,3,1,4,2,38,3,2,1,3,1,2,2
152,1,3,36,2,3,5848,1,3,4,3,1,1,3,24,3,2,1,3,1,1,1
153,1,2,24,4,1,7758,4,5,2,2,1,4,4,29,3,1,1,3,1,1,1
154,1,2,24,3,9,6967,2,4,4,3,1,4,3,36,3,1,1,4,1,2,1
155,0,1,12,2,2,1282,1,3,2,2,1,4,3,20,3,1,1,3,1,1,1
156,1,1,9,4,5,1288,2,5,3,3,3,4,1,48,3,2,2,3,2,1,2
157,1,1,12,1,8,339,1,5,4,4,1,1,3,45,1,2,1,2,1,1,1
158,1,2,24,2,0,3512,2,4,2,3,1,3,3,38,1,2,2,3,1,2,1
159,1,4,6,4,3,1898,5,3,1,3,1,2,1,34,3,2,2,2,2,1,1
160,1,4,24,4,3,2872,2,5,3,3,1,4,1,36,3,2,1,3,2,2,1
161,1,4,18,4,0,1055,1,2,4,2,1,1,2,30,3,2,2,3,1,1,1
162,1,4,15,2,4,1262,3,4,4,3,1,3,2,36,3,2,2,3,1,2,1
163,1,2,10,2,0,7308,1,1,2,3,1,4,4,70,1,3,1,4,1,2,1
164,1,4,36,2,0,909,3,5,4,3,1,4,2,36,3,2,1,3,1,1,1
165,1,4,6,2,2,2978,3,3,1,3,1,2,3,32,3,2,1,3,1,2,1
166,0,1,18,2,2,1131,1,1,4,2,1,2,3,33,3,2,1,3,1,1,1
167,1,2,11,2,2,1577,4,2,4,2,1,1,1,20,3,2,1,3,1,1,1
168,1,4,24,2,2,3972,1,4,2,2,1,4,2,25,3,1,1,3,1,2,1
169,0,2,24,4,9,1935,1,5,4,1,1,4,1,31,3,2,2,3,1,2,1
170,0,1,15,0,0,950,1,5,4,3,1,3,3,33,3,1,2,3,2,1,1
171,1,4,12,2,2,763,1,3,4,2,1,1,1,26,3,2,1,3,1,2,1
172,0,2,24,3,2,2064,1,1,3,2,1,2,2,34,3,2,1,4,1,2,1
173,1,2,8,2,3,1414,1,3,4,3,3,2,1,33,3,2,1,3,1,1,2
174,0,1,21,3,6,3414,1,2,2,3,1,1,2,26,3,2,2,3,1,1,1
175,0,4,30,1,1,7485,5,1,4,2,1,1,1,53,1,2,1,4,1,2,1
176,1,1,12,2,2,2577,1,3,2,1,1,1,3,42,3,2,1,3,1,1,1
177,1,1,6,4,3,338,3,5,4,3,1,4,3,52,3,2,2,3,1,1,1
178,1,4,12,2,3,1963,1,4,4,3,1,2,3,31,3,1,2,4,2,2,1
179,1,1,21,4,0,571,1,5,4,3,1,4,1,65,3,2,2,3,1,1,1
180,0,4,36,3,9,9572,1,2,1,1,1,1,3,28,3,2,2,3,1,1,1
181,0,2,36,3,9,4455,1,3,2,1,1,2,1,30,2,2,2,4,1,2,1
182,0,1,21,1,0,1647,5,3,4,3,1,2,2,40,3,2,2,2,2,1,1
183,1,4,24,4,2,3777,4,3,4,3,1,4,1,50,3,2,1,3,1,2,1
184,0,2,18,4,0,884,1,5,4,3,1,4,3,36,1,2,1,3,2,2,1
185,1,4,15,4,3,1360,1,3,4,3,1,2,2,31,3,2,2,3,1,1,1
186,0,2,9,1,1,5129,1,5,2,2,1,4,4,74,1,3,1,4,2,2,1
187,1,2,16,4,0,1175,1,1,2,3,1,3,3,68,3,3,3,1,1,2,1
188,0,1,12,2,3,674,2,4,4,4,1,1,2,20,3,2,1,3,1,1,1
189,1,2,18,0,2,3244,1,3,1,2,1,4,3,33,1,2,2,3,1,2,1
190,0,4,24,2,9,4591,4,3,2,3,1,3,2,54,3,2,3,4,1,2,1
191,0,2,48,0,9,3844,2,4,4,3,1,4,4,34,3,3,1,2,2,1,1
192,0,2,27,2,9,3915,1,3,4,3,1,2,3,36,3,2,1,3,2,2,1
193,1,4,6,2,3,2108,1,4,2,4,1,2,1,29,3,1,1,3,1,1,1
194,0,2,45,2,3,3031,2,3,4,3,3,4,2,21,3,1,1,3,1,1,1
195,0,2,9,4,6,1501,1,5,2,2,1,3,3,34,3,2,2,4,1,2,1
196,1,4,6,4,3,1382,1,3,1,2,1,1,3,28,3,2,2,3,1,2,1
197,0,2,12,2,2,951,2,2,4,2,1,4,3,27,1,1,4,3,1,1,1
198,1,2,24,2,1,2760,5,5,4,3,1,4,4,36,1,3,1,3,1,2,1
199,0,2,18,3,2,4297,1,5,4,1,1,3,4,40,3,2,1,4,1,2,1
200,1,4,9,4,6,936,3,5,4,3,1,2,3,52,3,2,2,3,1,2,1
201,1,1,12,2,0,1168,1,3,4,4,1,3,1,27,3,2,1,2,1,1,1
202,1,4,27,3,9,5117,1,4,3,3,1,4,3,26,3,2,2,3,1,1,1
203,0,1,12,2,8,902,1,4,4,4,1,4,2,21,3,1,1,3,1,1,1
204,1,4,12,4,0,1495,1,5,4,3,1,1,1,38,3,2,2,2,2,1,1
205,1,1,30,4,1,10623,1,5,3,3,1,4,4,38,3,3,3,4,2,2,1
206,1,4,12,4,2,1935,1,5,4,3,1,4,1,43,3,2,3,3,1,2,1
207,1,2,12,4,4,1424,1,4,4,3,1,3,2,26,3,2,1,3,1,1,1
208,1,1,24,2,9,6568,1,3,2,4,1,2,3,21,2,2,1,2,1,1,1
209,1,4,12,2,1,1413,4,4,3,3,1,2,2,55,3,2,1,3,1,1,2
210,1,4,9,4,3,3074,5,3,1,3,1,2,1,33,3,2,2,3,2,1,1
211,1,4,36,2,3,3835,5,5,2,2,1,4,1,45,3,2,1,2,1,2,1
212,0,1,27,0,9,5293,1,1,2,3,1,4,2,50,2,2,2,3,1,2,1
213,0,3,30,3,9,1908,1,5,4,3,1,4,1,66,3,2,1,4,1,2,1
214,1,4,36,4,3,3342,5,5,4,3,1,2,3,51,3,2,1,3,1,2,1
215,1,2,6,4,8,932,5,4,1,2,1,3,2,39,3,2,2,2,1,1,1
216,1,1,18,0,9,3104,1,4,3,3,1,1,2,31,1,2,1,3,1,2,1
217,1,3,36,2,3,3913,1,3,2,3,1,2,1,23,3,2,1,3,1,2,1
218,1,1,24,2,2,3021,1,3,2,1,1,2,1,24,3,1,1,2,1,1,1
219,1,4,10,2,0,1364,1,3,2,2,1,4,3,64,3,2,1,3,1,2,1
220,1,2,12,2,3,625,1,2,4,4,3,1,1,26,1,2,1,2,1,1,1
221,1,1,12,2,6,1200,5,3,4,2,1,4,2,23,1,1,1,3,1,2,1
222,1,4,12,2,3,707,1,3,4,3,1,2,1,30,1,2,2,3,1,1,1
223,1,4,24,3,9,2978,5,3,4,3,1,4,1,32,3,2,2,3,2,2,1
224,1,4,15,2,1,4657,1,3,3,3,1,2,3,30,3,2,1,3,1,2,1
225,1,4,36,0,5,2613,1,3,4,3,1,2,3,27,3,2,2,3,1,1,1
226,0,2,48,2,3,10961,4,4,1,3,2,2,4,27,1,2,2,3,1,2,1
227,0,1,12,2,2,7865,1,5,4,3,1,4,4,53,3,3,1,4,1,2,1
228,0,4,9,2,3,1478,1,4,4,3,1,2,3,22,3,2,1,3,1,1,1
229,1,1,24,2,2,3149,1,2,4,3,1,1,4,22,1,3,1,3,1,1,1
230,0,3,36,2,3,4210,1,3,4,3,1,2,3,26,3,2,1,3,1,1,1
231,1,4,9,2,0,2507,3,5,2,3,1,4,4,51,3,3,1,2,1,1,1
232,1,4,12,2,3,2141,2,4,3,3,1,1,4,35,3,2,1,3,1,1,1
233,1,2,18,2,3,866,1,3,4,4,3,2,1,25,3,2,1,2,1,1,1
234,1,4,4,4,3,1544,1,4,2,3,1,1,1,42,3,2,3,2,2,1,1
235,0,1,24,2,3,1823,1,1,4,3,1,2,3,30,2,2,1,4,2,1,1
236,0,2,6,2,0,14555,5,1,1,3,1,2,2,23,3,2,1,1,1,2,1
237,0,2,21,2,9,2767,2,5,4,1,1,2,3,61,1,1,2,2,1,1,1
238,1,4,12,4,3,1291,1,3,4,2,1,2,2,35,3,2,2,3,1,1,1
239,1,1,30,2,3,2522,1,5,1,3,3,3,2,39,3,2,1,3,2,1,1
240,0,1,24,2,0,915,5,5,4,2,1,2,3,29,1,2,1,3,1,1,1
241,1,4,6,2,3,1595,1,4,3,3,1,2,2,51,3,2,1,3,2,1,1
242,0,1,48,0,1,4605,1,5,3,3,1,4,4,24,3,3,2,3,2,1,1
243,1,4,12,4,9,1185,1,3,3,2,1,2,1,27,3,2,2,3,1,1,1
244,1,4,12,1,8,3447,3,3,4,2,1,3,1,35,3,2,1,2,2,1,1
245,1,4,24,2,9,1258,1,4,4,3,1,1,1,25,3,2,1,3,1,2,1
246,1,4,12,4,3,717,1,5,4,3,1,4,1,52,3,2,3,3,1,1,1
247,1,4,6,0,0,1204,2,3,4,3,1,1,4,35,1,1,1,3,1,1,2
248,1,3,24,2,2,1925,1,3,2,3,1,2,1,26,3,2,1,3,1,1,1
249,0,4,18,2,3,433,1,1,3,2,2,4,1,22,3,1,1,3,1,1,1
250,1,1,6,4,0,666,4,4,3,2,1,4,1,39,3,2,2,2,1,2,1
251,1,3,12,2,2,2251,1,3,1,2,1,2,3,46,3,2,1,2,1,1,1
252,0,2,30,2,0,2150,1,3,4,2,3,2,4,24,1,2,1,3,1,1,1
253,1,4,24,3,2,4151,2,3,2,3,1,3,2,35,3,2,2,3,1,1,1
254,1,2,9,2,2,2030,5,4,2,3,1,1,3,24,3,2,1,3,1,2,1
255,1,2,60,3,3,7418,5,3,1,3,1,1,1,27,3,2,1,2,1,1,1
256,1,4,24,4,3,2684,1,3,4,3,1,2,1,35,3,2,2,2,1,1,1
257,0,1,12,1,3,2149,1,3,4,1,1,1,4,29,3,3,1,3,1,1,1
258,1,4,15,2,1,3812,2,2,1,2,1,4,3,23,3,2,1,3,1,2,1
259,1,4,11,4,3,1154,2,1,4,2,1,4,1,57,3,2,3,2,1,1,1
260,1,1,12,2,2,1657,1,3,2,3,1,2,1,27,3,2,1,3,1,1,1
261,1,1,24,2,3,1603,1,5,4,2,1,4,3,55,3,2,1,3,1,1,1
262,1,1,18,4,0,5302,1,5,2,3,1,4,4,36,3,3,3,4,1,2,1
263,1,4,12,4,6,2748,1,5,2,2,1,4,4,57,1,3,3,2,1,1,1
264,1,4,10,4,0,1231,1,5,3,3,1,4,1,32,3,2,2,2,2,1,2
265,0,2,15,2,3,802,1,5,4,3,1,3,3,37,3,2,1,3,2,1,1
266,1,4,36,4,9,6304,5,5,4,3,1,4,1,36,3,2,2,3,1,1,1
267,1,4,24,2,3,1533,1,2,4,2,1,3,3,38,2,2,1,3,1,2,1
268,0,1,14,2,0,8978,1,5,1,1,1,4,2,45,3,2,1,4,1,2,2
269,1,4,24,2,3,999,5,5,4,3,1,2,3,25,3,2,2,3,1,1,1
270,1,4,18,2,0,2662,5,4,4,3,1,3,2,32,3,2,1,3,1,1,2
271,1,4,12,4,2,1402,3,4,3,2,1,4,3,37,3,1,1,3,1,2,1
272,1,2,48,1,0,12169,5,1,4,3,2,4,4,36,3,3,1,4,1,2,1
273,0,2,48,2,3,3060,1,4,4,3,1,4,1,28,3,2,2,3,1,1,1
274,0,1,30,2,5,11998,1,2,1,1,1,1,4,34,3,2,1,2,1,2,1
275,1,4,9,2,3,2697,1,3,1,3,1,2,1,32,3,2,1,3,2,1,1
276,1,4,18,4,3,2404,1,3,2,2,1,2,3,26,3,2,2,3,1,1,1
277,1,1,12,2,2,1262,5,5,2,1,1,4,2,49,3,2,1,2,1,2,1
278,0,4,6,2,2,4611,1,2,1,2,1,4,2,32,3,2,1,3,1,1,1
279,1,4,24,2,3,1901,2,3,4,3,1,4,3,29,3,1,1,4,1,2,1
280,1,4,15,4,1,3368,4,5,3,3,1,4,4,23,3,1,2,3,1,2,1
281,1,4,12,2,2,1574,1,3,4,3,1,2,1,50,3,2,1,3,1,1,1
282,1,3,18,1,3,1445,5,4,4,3,1,4,3,49,1,2,1,2,1,1,1
283,1,4,15,4,2,1520,5,5,4,3,1,4,2,63,3,2,1,3,1,1,1
284,1,2,24,4,0,3878,2,2,4,1,1,2,3,37,3,2,1,3,1,2,1
285,1,1,47,2,0,10722,1,2,1,2,1,1,1,35,3,2,1,2,1,2,1
286,1,1,48,2,1,4788,1,4,4,3,1,3,2,26,3,2,1,3,2,1,1
287,1,2,48,3,10,7582,2,1,2,3,1,4,4,31,3,3,1,4,1,2,1
288,1,2,12,2,3,1092,1,3,4,2,3,4,1,49,3,2,2,3,1,2,1
289,0,1,24,3,3,1024,1,2,4,4,1,4,1,48,2,2,1,3,1,1,1
290,1,4,12,2,9,1076,1,3,2,4,1,2,1,26,3,2,1,3,1,2,2
291,0,2,36,2,1,9398,1,2,1,4,1,4,3,28,3,1,1,4,1,2,1
292,1,1,24,4,1,6419,1,5,2,2,1,4,4,44,3,3,2,4,2,2,1
293,1,3,42,4,1,4796,1,5,4,3,1,4,4,56,3,3,1,3,1,1,1
294,1,4,48,4,9,7629,5,5,4,1,1,2,3,46,1,2,2,4,2,1,1
295,0,2,48,2,2,9960,1,2,1,2,1,2,3,26,3,2,1,3,1,2,1
296,1,4,12,2,1,4675,5,2,1,2,1,4,3,20,3,1,1,3,1,1,1
297,1,4,10,2,0,1287,5,5,4,3,2,2,2,45,3,2,1,2,1,1,2
298,1,4,18,2,2,2515,1,3,3,3,1,4,1,43,3,2,1,3,1,2,1
299,1,2,21,4,2,2745,4,4,3,3,1,2,3,32,3,2,2,3,1,2,1
300,1,4,6,2,0,672,1,1,1,2,1,4,1,54,3,2,1,1,1,2,1
301,0,2,36,0,3,3804,1,3,4,2,1,1,3,42,3,2,1,3,1,2,1
302,0,3,24,4,0,1344,5,4,4,3,1,2,1,37,1,2,2,2,2,1,1
303,1,1,10,4,0,1038,1,4,4,3,2,3,2,49,3,2,2,3,1,2,1
